,index,Unnamed: 0,tweet
0,0,0,boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1,1,1,You ever fuck a bitch and she start to cry? You be confused as shit
2,2,2,Alma she look like a tranny
3,3,3,The shit you hear about me might be true or it might be faker than the bitch who told it to ya 
4,4,4,"The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! """
5,5,5,"I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
6,6,6,cause I'm tired of you big bitches coming for us skinny girls!!
7,7,7,"""  you might not get ya bitch back  thats that """
8,8,8,"fighting Mariam""

bitch"
9,9,9,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
10,10,10,""" Murda Gang bitch its Gang Land """
11,11,11,""" So hoes that smoke are losers ? "" yea ... go on IG"
12,12,12,""" bad bitches is the only thing that i like """
13,13,13,""" bitch get up off me """
14,14,14,""" bitch nigga miss me with it """
15,15,15,""" bitch plz whatever """
16,16,16,""" bitch who do you love """
17,17,17,""" bitches get cut off everyday B """
18,18,18,""" black bottle  a bad bitch """
19,19,19,""" broke bitch cant tell me nothing """
20,20,20,""" cancel that bitch like Nino """
21,21,21,""" cant you see these hoes wont change """
22,22,22,""" fuck no that bitch dont even suck dick ""  the Kermit videos bout to fuck IG up"
23,24,24,""" her pussy lips like Heaven doors "" "
24,25,25,""" hoe what its hitting for """
25,26,26,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" "
26,27,27,""" i need a trippy bitch who fuck on Hennessy """
27,28,28,""" i spend my money how i want bitch its my business """
28,29,29,""" i txt my old bitch my new bitch pussy wetter """
29,30,30,""" i'd say im back to the old me but my old bitches would get excited "" "
30,31,31,""" if you aint bout that Murder Game pussy nigga shut up """
31,32,32,""" if you're toes ain't done you pussy stinks """
32,33,33,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
33,34,34,""" is that ya bitch """
34,35,35,""" it aint nothing to cut a bitch off """
35,36,36,""" jus meet son now he ya mane ass bitches "" #Shots"
36,37,37,""" lames crying over hoes thats tears of a clown """
37,38,38,""" like Snoop said in 94 we dont love these hoes """
38,39,39,""" momma said no pussy cats inside my doghouse """
39,42,42,""" pimps up pimps up hoes down "" Future voice"
40,43,43,""" post a picture of that pussy get 200 likes """
41,45,45,""" quick piece of pussy call it a drive by """
42,46,46,""" running round here like some brand new pussy thats bout to get fucked """
43,47,47,""" these bitches even worst they'll send them guys for you """
44,48,48,""" these hoes like niggas that spend money not talk bout it """
45,49,49,""" we dont trust these niggas all these bitches """
46,50,50,""" yall niggas b cuffing hoes cause yall aint never have bitches """
47,51,51,"""All da bitches I cut off pregnant or bound to be ....thank God """
48,52,52,""" young Pill Chamberlain these bitches love my music """
49,53,53,"Teanna Trump probably cleaner than most of these twitter hoes but........."""
50,54,54,"Gay niggas couldn't wait to act like bitches tonight"""
51,55,55,"Alex He a bitch you should do it"""
52,56,56,""" he's gone always be a hoe"""
53,57,57,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
54,58,58,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
55,59,59,"I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers"". Retweet"
56,60,60,"I'm a fucking fag they said"""
57,62,62,"Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
58,63,63,"How u gone bring ur side bitch to a game where You know Ya gf friends at ?! "" I SWEAR!!!!!"
59,65,65,"Lemmie eat a Oreo  do these dishes."" One oreo? Lol"
60,67,67,"Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
61,69,69,"Him seh me pussy wetter then a shower curtain....#ahmesehwetness""lmao!!"
62,70,70,"#Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
63,73,73," I ain't shit ."" Damn Skippy lol"
64,74,74,"u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b 30%chance"
65,76,76,"ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
66,78,78," RT Anna Bitches be wanting to act like niggas so bad  that shit aint cuteeeee"" but niggas act like bitches.."
67,81,81,"Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
68,82,82,"Diana Diana queer"" gaywad"
69,83,83,"Lisa faggot read my tweets after dat k"" it wasn't even funny lol"
70,85,85,"I been kidnapped yo bitch"""
71,86,86,"David alsarabsss"" hes a beaner smh you can tell hes a mexican"
72,87,87,"Kelly happy birthday nigs"" Thanks yo"
73,90,90,"What would y'all lil ugly bald headed bitches do if they stop making make-up  weave?"""
74,91,91,"Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
75,92,92,"Going back to school sucks more dick than the hoes who attend it."""
76,94,94,"Ann how come you never bring me food"" i dont have a car retard"
77,95,95,"If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
78,96,96,"How bout them Cowboys!!!!"" Shutup pussy"
79,98,98,"Cindy girl you know I was spitting that G shit to you  you was going lbvs""bitch plz"
80,99,99,"Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
81,100,100,"Harlem shake is just an excuse to go full retard for 30 seconds."""
82,102,102,"having one loyal female is wayyyyy better than having hoes , idc """
83,104,104,"Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
84,105,105,"What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
85,106,106,"Marion im the bitch okay nudes pat "" wow"
86,108,108,"The fuck be wrong with these bitches?"" Nobody knows"
87,109,109,"Yall shut up:p"" make me bitch"
88,110,110,"I hate a ""I'm pregnant"" type of bitch."""
89,111,111,"Got bitches in the DM but I don't ever read'em"" which is y your top 3"
90,112,112,"Little stupid as bitch I don't fuck with yoooooouuuu.."""
91,113,113,"she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
92,114,114,"Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
93,115,115,"Ron Aw."" ...fag, don't tweet ""aw"" to me lol"
94,116,116,"Jessie I didn't say anything tho"" kiss me then faggot"
95,117,117,"I could go for a fat ass bitch on my lap"" same"
