,tweet
0,boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1,You ever fuck a bitch and she start to cry? You be confused as shit
2,@viva_based she look like a tranny
3,The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
4,"The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
5,"I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
6,cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
7,""" &amp; you might not get ya bitch back &amp; thats that """
8,"fighting Mariam""

bitch"
9,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
10,""" Murda Gang bitch its Gang Land """
11,""" So hoes that smoke are losers ? "" yea ... go on IG"
12,""" bad bitches is the only thing that i like """
13,""" bitch get up off me """
14,""" bitch nigga miss me with it """
15,""" bitch plz whatever """
16,""" bitch who do you love """
17,""" bitches get cut off everyday B """
18,""" black bottle &amp; a bad bitch """
19,""" broke bitch cant tell me nothing """
20,""" cancel that bitch like Nino """
21,""" cant you see these hoes wont change """
22,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
23,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
24,""" her pussy lips like Heaven doors "" &#128524;"
25,""" hoe what its hitting for """
26,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
27,""" i need a trippy bitch who fuck on Hennessy """
28,""" i spend my money how i want bitch its my business """
29,""" i txt my old bitch my new bitch pussy wetter """
30,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
31,""" if you aint bout that Murder Game pussy nigga shut up """
32,""" if you're toes ain't done you pussy stinks """
33,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
34,""" is that ya bitch """
35,""" it aint nothing to cut a bitch off """
36,""" jus meet son now he ya mane ass bitches "" #Shots"
37,""" lames crying over hoes thats tears of a clown """
38,""" like Snoop said in 94 we dont love these hoes """
39,""" momma said no pussy cats inside my doghouse """
40,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
41,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
42,""" pimps up pimps up hoes down "" Future voice"
43,""" post a picture of that pussy get 200 likes """
44,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
45,""" quick piece of pussy call it a drive by """
46,""" running round here like some brand new pussy thats bout to get fucked """
47,""" these bitches even worst they'll send them guys for you """
48,""" these hoes like niggas that spend money not talk bout it """
49,""" we dont trust these niggas all these bitches """
50,""" yall niggas b cuffing hoes cause yall aint never have bitches """
51,"""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
52,""" young Pill Chamberlain these bitches love my music """
53,"Teanna Trump probably cleaner than most of these twitter hoes but........."""
54,"Gay niggas couldn't wait to act like bitches tonight"""
55,"@The_Paradox He a bitch you should do it"""
56,"""&amp; he's gone always be a hoe"""
57,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
58,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
59,"I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
60,"I'm a fucking fag they said"""
61,"Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
62,"Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
63,"How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
64,"http://t.co/3gzUpfuMev"" woof woof and hot soles"
65,"Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
66,"@JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
67,"Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
68,"Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
69,"Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
70,"#Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
71,"Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
72,"baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
73,"&#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
74,"u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
75,"@_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
76,"ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
77,"The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
78,"&#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
79,"Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
80,"Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
81,"Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
82,"@WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
83,"@ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
84,"This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
85,"I been kidnapped yo bitch"""
86,"@white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
87,"@AydanMcCoy happy birthday nigs"" Thanks yo"
88,"when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
89,"@CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
90,"What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
91,"Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
92,"Going back to school sucks more dick than the hoes who attend it."""
93,"On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
94,"@white_thunduh how come you never bring me food"" i dont have a car retard"
95,"If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
96,"How bout them Cowboys!!!!"" Shutup pussy"
97,"LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
98,"@lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
99,"Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
100,"Harlem shake is just an excuse to go full retard for 30 seconds."""
101,"amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
102,"having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
103,"Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;"
104,"Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
105,"What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
106,"@white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
107,"@VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
108,"The fuck be wrong with these bitches?"" Nobody knows"
109,"Yall shut up:p"" make me bitch"
110,"I hate a ""I'm pregnant"" type of bitch."""
111,"Got bitches in the DM but I don't ever read'em"" which is y your top 3"
112,"Little stupid as bitch I don't fuck with yoooooouuuu.."""
113,"she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
114,"Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
115,"@1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"
116,"@h0rheyd I didn't say anything tho"" kiss me then faggot"
117,"I could go for a fat ass bitch on my lap"" same"
118,"17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
119,"Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
120,"3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah"
121,"These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh"
122,"Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
123,"Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
124,"I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
125,"If she kiss u with her eyes open watch that bitch!""lmfao"
126,"You a woulda coulda shoulda ass hoe &#128563;&#128586;"""
127,"Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!"
128,"@1Jayee @PipinHoes used to send that bitch up"""
129,"Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;"""
130,"@1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
131,"Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
132,"This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc"
133,"I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
134,"Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu"
135,"White boy power bitch"" black power bitch"
136,"Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
137,"@verbally_abrupt bitch where u been"" Around the world and back. Where you been?"
138,"@anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
139,"#oomf is soooo cute. But he probably has hoes on him a lot."""
140,"In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
141,"Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"
142,"I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do"
143,"If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
144,"Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3"
145,"stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH"
146,"@white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
147,"@1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
148,"You're not a man if you refer to every girl as a bitch"""
149,"Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
150,"Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
151,"@16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
152,"@VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
153,"Ol dirty foot ass bitches.."" this was too funny to me."
154,"@white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY"
155,"Don't got time for bitches to be actin iffy."""
156,"These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them"
157,"Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
158,"dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
159,"shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;"
160,"Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
161,"You love these hoes more then money wats wrong these niggas"""
162,"A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
163,"Easy cum, easy hoe"" That's a fact !"
164,"Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen."
165,"Wish I had a bae &#128533;""

You got all the hoes tho"
166,"Fuck twerking bitch can you cook ?"""
167,"@WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB"
168,"Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now"
169,"Lmao fucking snake bitches"" @ em"
170,"Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;"
171,"Oregon chokes every year get off the field trash ass program"" RFT"
172,"Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
173,"LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
174,"@20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent"
175,"http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
176,"http://t.co/PrrskknqRv"" love frat boy w/ soft long soles"
177,"http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches."
178,"@white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel"
179,"This new twitter is confusing the shit out of me."" Go back to south america bitch"
180,"Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
181,"but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!"
